"Laps","Time","Cumulative Time","Distance mi","Avg Pace min/mi","Avg GAP min/mi","Avg HR bpm","Max HR bpm","Total Ascent ft","Total Descent ft","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/mi","Max Run Cadence spm","Moving Time","Avg Moving Pace min/mi","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","9:07.5","9:07.5","0.86","10:40","--","155","172","3","0","267","3.57","316","4.22","154","298","--","0.98","9.2","9.4","121","--","9:29","163","8:55","10:26","--","--"
"Summary","9:07.5","9:07.5","0.86","10:40","--","155","172","3","0","267","3.57","316","4.22","154","298","--","0.98","9.2","9.4","121","--","9:29","163","8:55","10:26","--","--"
